,Serial_Number,AGE,GENDER,MARITAL_STATUS,NATIONALITY,LINE_TENURE,CUSTOMER_CLASS,SUBPLAN,CONTRACT_FLAG,PAY_METD,HS_AGE,TOP1_INT_CD,TOP2_INT_CD,TOP3_INT_CD,CUSTOMER_TYPE,ID_CHANGE_FLAG
39,10128,46.0,F,M,702.0,1083,3,2107,1.0,cs,14,NONE,NONE,NONE,3G,0
40,1013,34.0,F,S,458.0,1646,3,2206,1.0,co,0,105,103,NONE,4G,0
41,1014,37.0,M,S,458.0,741,6,2135,0.0,cs,0,65,105,101,4G,0
42,10141,25.0,M,S,702.0,2494,3,2102,1.0,cs,21,242,NONE,NONE,3G,0
43,10142,50.0,M,M,702.0,1059,3,2242,1.0,cs,4,NONE,NONE,NONE,3G,0
44,10146,32.0,M,S,458.0,1404,6,2242,1.0,cs,9,NONE,NONE,NONE,3G,0
45,1015,36.0,M,M,702.0,2768,3,2103,1.0,co,4,NONE,NONE,NONE,4G,0
46,10152,26.0,F,S,702.0,461,3,2242,1.0,cs,15,NONE,NONE,NONE,3G,0
47,10153,31.0,M,M,702.0,346,3,2241,1.0,cs,11,NONE,NONE,NONE,3G,0
48,1016,29.0,M,S,702.0,2997,3,2242,1.0,co,0,NONE,NONE,NONE,4G,0
49,10164,28.0,M,S,702.0,836,3,2135,0.0,cs,27,NONE,NONE,NONE,3G,0
50,1017,46.0,M,M,702.0,2446,3,2135,1.0,cs,4,248,NONE,NONE,4G,0
51,10175,42.0,M,M,702.0,2939,7,2171,0.0,dd,28,74,248,40,3G,0
52,10179,32.0,F,S,702.0,1982,3,2101,1.0,cs,0,103,NONE,NONE,3G,0
53,1018,46.0,M,M,702.0,763,3,2107,1.0,cs,1,105,236,35,4G,0
54,10180,29.0,M,M,702.0,2143,7,2166,1.0,co,10,NONE,NONE,NONE,3G,0
55,10188,25.0,M,S,702.0,2046,3,2248,1.0,cs,6,NONE,NONE,NONE,3G,0
56,1019,32.0,M,S,702.0,1939,3,2104,1.0,cs,9,105,NONE,NONE,4G,0
57,10190,49.0,M,M,702.0,2959,3,2242,1.0,cs,4,105,102,NONE,3G,0
58,10194,32.0,F,S,702.0,2763,3,2135,1.0,cs,18,236,NONE,NONE,3G,0
59,102,31.0,M,S,702.0,1027,3,2107,1.0,cs,11,105,103,101,4G,0
60,1020,52.0,F,M,702.0,1520,3,2243,0.0,cs,0,258,NONE,NONE,4G,0
61,10204,31.0,F,M,702.0,893,3,2101,1.0,cs,13,NONE,NONE,NONE,3G,0
62,10206,22.0,F,S,702.0,307,3,2243,1.0,cs,10,NONE,NONE,NONE,3G,0
63,10207,23.0,M,S,702.0,2100,3,2242,1.0,cs,3,105,248,NONE,3G,0
64,10208,47.0,F,M,702.0,1765,3,2105,0.0,cs,57,NONE,NONE,NONE,3G,0
65,1021,47.0,M,M,702.0,1310,7,2166,1.0,dd,4,261,NONE,NONE,4G,0
66,10213,64.0,M,M,579.0,495,3,2242,1.0,cs,16,105,103,34,3G,0
67,10215,61.0,M,M,702.0,1059,3,2101,0.0,cs,34,NONE,NONE,NONE,3G,0
68,1022,30.0,M,S,702.0,3130,3,2104,1.0,co,1,NONE,NONE,NONE,4G,0
69,10227,42.0,M,S,702.0,2188,3,2101,1.0,cs,20,105,102,NONE,3G,0
70,1023,32.0,M,S,702.0,1857,3,2104,1.0,cs,1,105,NONE,NONE,4G,0
71,10230,33.0,M,S,702.0,1053,3,2101,1.0,co,0,NONE,NONE,NONE,3G,0
72,1024,45.0,M,M,702.0,3118,3,2101,0.0,dd,30,251,NONE,NONE,4G,0
73,10248,37.0,F,M,702.0,674,3,2135,1.0,cs,22,101,105,NONE,3G,0
74,10249,49.0,F,S,702.0,2101,3,2242,1.0,cs,12,49,242,NONE,3G,0
75,1025,31.0,M,S,702.0,2542,3,2107,1.0,cs,1,105,NONE,NONE,4G,0
76,10257,30.0,F,S,702.0,1989,3,2242,1.0,cg,4,NONE,NONE,NONE,3G,0
77,10259,52.0,M,M,702.0,2171,3,2248,1.0,cs,0,NONE,NONE,NONE,3G,0
78,1026,27.0,M,S,702.0,2135,3,2104,1.0,dd,3,70,82,65,4G,0
79,10262,26.0,M,S,702.0,2937,3,2243,1.0,cs,1,NONE,NONE,NONE,3G,0
80,10264,32.0,F,S,702.0,815,3,2105,1.0,cg,2,NONE,NONE,NONE,3G,0
81,10268,41.0,F,M,702.0,696,3,2135,1.0,cg,22,NONE,NONE,NONE,3G,0
82,1027,33.0,M,S,702.0,2295,3,2104,1.0,cs,19,248,103,NONE,4G,0
83,10275,66.0,M,S,702.0,2944,3,2107,0.0,cg,49,NONE,NONE,NONE,3G,0
84,10276,29.0,M,S,702.0,2938,3,2242,1.0,co,10,NONE,NONE,NONE,3G,0
85,10279,25.0,M,S,356.0,493,5,2135,1.0,cs,3,239,105,254,3G,0
86,1028,34.0,F,M,702.0,1759,3,2107,0.0,cs,5,29,70,242,4G,0
87,10283,27.0,F,S,702.0,440,3,2241,1.0,cs,6,NONE,NONE,NONE,3G,0
88,10287,39.0,M,M,702.0,2315,3,2135,1.0,cs,15,NONE,NONE,NONE,3G,0
89,10288,70.0,F,M,702.0,289,3,2241,1.0,cs,9,NONE,NONE,NONE,3G,0
90,1029,30.0,F,S,702.0,2438,3,2243,0.0,co,3,70,39,105,4G,0
91,10291,55.0,M,M,702.0,1731,3,2206,1.0,cs,17,NONE,NONE,NONE,3G,0
92,10297,39.0,F,M,702.0,2939,3,2241,1.0,co,12,NONE,NONE,NONE,3G,0
93,103,24.0,M,S,702.0,1354,3,2101,0.0,co,0,NONE,NONE,NONE,4G,0
94,1030,27.0,F,S,702.0,1812,3,2243,1.0,cs,0,248,NONE,NONE,4G,0
95,1031,36.30354683195592,M,S,702.0,3099,8,2102,1.0,cs,0,105,236,70,4G,0
96,10312,29.0,F,S,702.0,1558,7,2166,1.0,cg,23,NONE,NONE,NONE,3G,0
97,10313,48.0,M,M,702.0,324,3,2242,1.0,cs,0,NONE,NONE,NONE,3G,0
98,10315,42.0,F,S,702.0,1087,3,2114,1.0,cs,11,NONE,NONE,NONE,3G,0
99,10316,25.0,F,S,702.0,1447,3,2242,1.0,cs,6,NONE,NONE,NONE,3G,0
100,10317,28.0,M,S,702.0,312,7,2166,1.0,cs,11,NONE,NONE,NONE,3G,0
101,1032,26.0,F,S,702.0,2148,3,2102,1.0,dd,1,238,105,67,4G,0
102,10320,34.0,F,S,702.0,1232,3,2242,1.0,cs,11,242,NONE,NONE,3G,0
103,10322,20.0,M,S,702.0,1442,4,2206,0.0,cs,34,NONE,NONE,NONE,3G,0
104,10323,30.0,F,S,702.0,2198,3,2242,1.0,cs,9,NONE,NONE,NONE,3G,0
105,10326,24.0,M,S,702.0,894,3,2119,0.0,cs,29,NONE,NONE,NONE,3G,0
106,1033,36.30354683195592,M,S,702.0,2866,3,2104,1.0,cs,10,103,65,237,4G,0
107,10338,40.0,F,M,702.0,1711,3,2248,1.0,cs,5,105,236,NONE,3G,0
108,1034,48.0,M,M,702.0,2447,3,2102,1.0,cs,1,29,266,NONE,4G,0
109,10344,48.0,F,M,702.0,2928,3,2101,1.0,cs,6,258,NONE,NONE,3G,0
110,1035,47.0,M,M,702.0,3110,3,2101,1.0,cs,1,NONE,NONE,NONE,4G,0
111,10354,29.0,F,S,980.0,238,5,2242,1.0,cs,7,53,243,70,3G,0
112,10358,43.0,M,M,392.0,423,5,2206,1.0,cs,13,NONE,NONE,NONE,3G,0
113,1036,25.0,F,S,702.0,2671,3,2243,1.0,cs,0,NONE,NONE,NONE,4G,0
114,10364,48.0,M,M,702.0,1633,3,2105,0.0,dd,53,NONE,NONE,NONE,3G,0
115,10365,49.0,F,M,702.0,664,3,2107,1.0,cs,7,NONE,NONE,NONE,3G,0
116,10366,42.0,M,M,392.0,960,5,2101,0.0,cs,31,241,75,70,3G,0
117,10369,59.0,M,M,702.0,350,3,2241,1.0,cs,11,NONE,NONE,NONE,3G,0
118,1037,52.0,M,M,702.0,3131,3,2102,0.0,cs,0,258,NONE,NONE,4G,0
119,10373,52.0,F,M,702.0,545,3,2242,1.0,cs,4,105,NONE,NONE,3G,0
120,10376,28.0,M,S,702.0,1746,3,2102,1.0,cs,7,238,35,105,3G,0
121,10378,52.0,F,M,702.0,2857,3,2101,0.0,cs,22,NONE,NONE,NONE,3G,0
122,1038,46.0,F,S,702.0,3022,3,2101,1.0,cs,10,237,236,70,4G,0
123,10381,24.0,F,S,702.0,584,3,2242,1.0,cs,19,NONE,NONE,NONE,3G,0
124,10385,22.0,M,S,982.0,744,6,2135,0.0,cs,24,250,55,NONE,3G,0
125,1039,39.0,M,S,702.0,1554,3,2101,0.0,cs,51,52,241,NONE,4G,0
126,10390,39.0,F,S,702.0,353,3,2241,1.0,co,11,NONE,NONE,NONE,3G,0
127,10398,47.0,F,M,702.0,2856,3,2107,1.0,cs,0,NONE,NONE,NONE,3G,0
128,104,27.0,F,S,702.0,1466,3,2107,1.0,cs,3,NONE,NONE,NONE,4G,0
129,1040,38.0,F,M,702.0,2064,3,2242,0.0,cg,0,NONE,NONE,NONE,4G,0
130,10402,43.0,M,M,702.0,675,3,2242,1.0,cg,18,NONE,NONE,NONE,3G,0
131,10403,46.0,F,M,608.0,1326,6,2135,0.0,cs,21,NONE,NONE,NONE,3G,0
132,10404,23.0,M,S,524.0,413,5,2242,1.0,cs,4,45,248,NONE,3G,0
133,10408,46.0,M,M,702.0,388,3,2206,1.0,cs,12,NONE,NONE,NONE,3G,0
134,1041,33.0,F,S,702.0,2154,3,2104,1.0,cg,0,101,NONE,NONE,4G,0
135,10417,28.0,F,S,702.0,1201,3,2119,0.0,dd,39,NONE,NONE,NONE,3G,0
136,10418,59.0,F,M,702.0,1941,3,2101,0.0,dd,0,240,NONE,NONE,3G,0
137,10419,35.0,M,S,702.0,2083,3,2102,1.0,dd,4,NONE,NONE,NONE,3G,0
138,1042,33.0,F,S,702.0,2362,3,2137,1.0,cs,21,105,103,101,4G,0
139,10426,30.0,F,S,702.0,2941,3,2242,1.0,dd,0,NONE,NONE,NONE,3G,0
140,1043,23.0,M,S,702.0,1409,3,2243,1.0,cs,13,NONE,NONE,NONE,4G,0
141,10430,30.0,M,S,702.0,580,3,2135,1.0,cs,19,NONE,NONE,NONE,3G,0
142,10431,50.0,F,M,702.0,2163,3,2242,0.0,cs,11,NONE,NONE,NONE,3G,0
143,10435,51.0,M,M,702.0,1134,7,2156,1.0,cs,11,NONE,NONE,NONE,3G,0
144,10437,38.0,M,S,702.0,1134,7,2156,1.0,cs,22,NONE,NONE,NONE,3G,0
145,1044,33.0,M,M,702.0,2787,3,2102,1.0,cs,11,NONE,NONE,NONE,4G,0
146,10443,30.0,M,M,702.0,2617,3,2101,1.0,co,14,NONE,NONE,NONE,3G,0
147,10444,24.0,M,S,702.0,1824,3,2107,1.0,cs,13,NONE,NONE,NONE,3G,0
148,1045,38.0,M,S,702.0,2792,3,2101,1.0,cs,0,105,NONE,NONE,4G,0
149,10451,65.0,M,M,702.0,2939,3,2101,1.0,co,16,NONE,NONE,NONE,3G,0
150,10453,33.0,M,S,702.0,2939,3,2102,1.0,cs,15,242,NONE,NONE,3G,0
151,10455,18.0,M,S,702.0,353,4,2242,1.0,cs,11,NONE,NONE,NONE,3G,0
152,1046,26.0,F,S,702.0,1143,3,2242,1.0,cs,19,NONE,NONE,NONE,4G,0
153,10466,48.0,M,M,702.0,661,3,2242,1.0,cs,21,NONE,NONE,NONE,3G,0
154,10469,53.0,M,M,702.0,2856,3,2101,0.0,cs,0,NONE,NONE,NONE,3G,0
155,1047,27.0,M,S,702.0,1771,3,2107,1.0,cs,0,NONE,NONE,NONE,4G,0
156,10473,51.0,M,M,702.0,1634,3,2102,1.0,co,6,32,84,NONE,3G,0
157,10476,31.0,F,S,702.0,2118,3,2101,1.0,dd,19,NONE,NONE,NONE,3G,0
158,10479,46.0,F,S,702.0,2904,3,2101,1.0,cs,60,NONE,NONE,NONE,3G,0
159,1048,29.0,M,S,702.0,999,3,2105,1.0,cs,0,NONE,NONE,NONE,4G,0
160,10481,18.0,F,S,702.0,308,4,2242,1.0,cs,10,NONE,NONE,NONE,3G,0
161,10483,52.0,M,M,702.0,2538,3,2107,0.0,cs,57,NONE,NONE,NONE,3G,0
162,1049,34.0,M,S,702.0,3128,3,2102,1.0,co,2,77,239,70,4G,0
163,10494,31.0,F,M,702.0,2653,3,2101,1.0,cs,9,NONE,NONE,NONE,3G,0
164,10495,65.0,F,M,702.0,748,3,2135,0.0,cs,24,NONE,NONE,NONE,3G,0
165,10496,44.0,M,S,702.0,2318,3,2101,1.0,cs,16,NONE,NONE,NONE,3G,0
166,105,37.0,F,M,458.0,1447,3,2101,1.0,cs,0,105,101,NONE,4G,0
167,1050,28.0,M,S,702.0,908,3,2248,0.0,cs,29,105,104,103,4G,0
168,10501,63.0,M,M,702.0,1995,3,2101,1.0,cs,0,NONE,NONE,NONE,3G,0
169,10503,36.30354683195592,F,S,702.0,1833,9,2151,1.0,dd,0,254,80,70,3G,0
170,10504,35.0,F,M,702.0,2483,3,2107,1.0,cs,12,NONE,NONE,NONE,3G,0
171,10505,67.0,M,M,702.0,881,3,2101,0.0,cs,36,248,35,NONE,3G,0
172,1051,38.0,F,M,702.0,184,7,2212,1.0,co,5,NONE,NONE,NONE,4G,0
173,1052,26.0,F,S,702.0,2481,3,2243,1.0,co,3,237,258,248,4G,0
174,10521,42.0,F,M,702.0,2204,3,2101,1.0,cs,15,105,237,NONE,3G,0
175,10522,57.0,F,M,702.0,2927,3,2136,0.0,cs,0,237,39,236,3G,0
176,10523,25.0,F,S,702.0,1585,7,2166,1.0,cs,10,105,103,48,3G,0
177,10525,48.0,M,M,702.0,2926,7,2166,1.0,dd,1,254,105,NONE,3G,0
178,10528,33.0,M,M,702.0,2364,3,2136,1.0,cs,10,105,NONE,NONE,3G,0
179,1053,23.0,M,S,702.0,1406,3,2243,1.0,cs,21,NONE,NONE,NONE,4G,0
180,10530,45.0,F,M,702.0,2344,3,2101,1.0,cs,3,NONE,NONE,NONE,3G,0
181,10536,59.0,M,M,702.0,2522,3,2241,1.0,cs,8,105,NONE,NONE,3G,0
182,1054,35.0,F,M,702.0,3050,3,2104,1.0,co,2,236,237,35,4G,0
183,10544,31.0,F,M,702.0,1093,3,2241,1.0,dd,10,NONE,NONE,NONE,3G,0
184,1055,66.0,M,M,702.0,3130,3,2103,1.0,dd,0,260,NONE,NONE,4G,0
185,1056,32.0,M,M,156.0,930,6,2248,0.0,cs,30,NONE,NONE,NONE,4G,0
186,10562,60.0,M,M,702.0,1441,3,2101,1.0,cs,21,NONE,NONE,NONE,3G,0
187,10564,42.0,M,M,702.0,1047,3,2105,1.0,cs,21,NONE,NONE,NONE,3G,0
188,1057,30.0,F,M,702.0,1379,3,2135,1.0,co,23,NONE,NONE,NONE,4G,0
189,10571,52.0,M,M,702.0,1850,3,2242,1.0,cs,19,NONE,NONE,NONE,3G,0
190,10572,33.0,M,S,356.0,1346,6,2241,0.0,cs,44,NONE,NONE,NONE,3G,0
191,10574,34.0,F,M,702.0,594,3,2135,1.0,cs,19,NONE,NONE,NONE,3G,0
192,1058,30.0,M,M,702.0,2964,3,2243,0.0,cs,0,NONE,NONE,NONE,4G,0
193,10582,32.0,F,S,702.0,2495,3,2101,1.0,cs,14,NONE,NONE,NONE,3G,0
194,10587,24.0,F,S,702.0,1940,3,2102,1.0,cs,23,105,103,NONE,3G,0
195,1059,31.0,F,S,702.0,250,7,2209,1.0,cs,0,NONE,NONE,NONE,4G,0
196,10592,27.0,M,S,702.0,2422,7,2166,1.0,cs,17,NONE,NONE,NONE,3G,0
197,106,48.0,M,M,702.0,1451,3,2101,1.0,cs,0,NONE,NONE,NONE,4G,0
198,1060,24.0,M,S,702.0,1612,3,2102,1.0,cs,22,105,NONE,NONE,4G,0
199,10600,31.0,M,M,702.0,203,3,2242,1.0,cs,6,248,NONE,NONE,3G,0
200,10604,27.0,F,S,702.0,2197,3,2242,1.0,cs,19,NONE,NONE,NONE,3G,0
201,1061,33.0,F,S,702.0,1056,3,2101,1.0,cg,0,52,NONE,NONE,4G,0
202,10613,50.0,F,M,702.0,1612,3,2248,1.0,cs,7,NONE,NONE,NONE,3G,0
203,1062,41.0,F,S,702.0,232,3,2242,1.0,co,0,NONE,NONE,NONE,4G,0
204,10622,53.0,F,M,702.0,1909,3,2105,1.0,cs,10,67,70,NONE,3G,0
205,1063,34.0,M,S,702.0,2195,3,2102,1.0,cs,7,70,241,NONE,4G,0
206,10630,35.0,M,S,702.0,2286,3,2248,1.0,cg,12,NONE,NONE,NONE,3G,0
207,10634,56.0,M,M,702.0,347,3,2241,1.0,cs,11,NONE,NONE,NONE,3G,0
208,10636,48.0,F,M,702.0,2148,3,2101,1.0,cs,16,NONE,NONE,NONE,3G,0
209,10639,25.0,F,S,702.0,339,7,2212,1.0,cs,10,NONE,NONE,NONE,3G,0
210,1064,41.0,M,M,702.0,2387,3,2243,1.0,co,5,105,254,258,4G,0
211,10642,45.0,M,S,702.0,1914,3,2101,1.0,cs,16,NONE,NONE,NONE,3G,0
212,1065,38.0,M,S,702.0,3130,3,2242,0.0,co,24,NONE,NONE,NONE,4G,0
213,1066,33.0,M,S,702.0,2974,3,2102,1.0,co,10,NONE,NONE,NONE,4G,0
214,10660,30.0,F,S,250.0,1384,5,2101,1.0,cs,3,51,50,248,3G,0
215,10665,48.0,M,M,702.0,893,3,2105,0.0,cs,29,NONE,NONE,NONE,3G,0
216,1067,24.0,M,S,702.0,591,3,2136,1.0,cs,19,242,258,NONE,4G,0
217,10678,36.0,F,M,702.0,804,3,2119,0.0,cs,50,NONE,NONE,NONE,3G,0
218,1068,26.0,F,S,702.0,1428,3,2104,1.0,cs,0,236,103,NONE,4G,0
219,10688,35.0,M,S,702.0,1555,3,2115,1.0,cs,51,NONE,NONE,NONE,3G,0
220,10689,38.0,M,M,702.0,1305,7,2105,1.0,co,1,NONE,NONE,NONE,3G,0
221,1069,42.0,M,M,702.0,3129,3,2104,1.0,dd,15,NONE,NONE,NONE,4G,0
222,10692,55.0,M,S,702.0,1281,3,2105,1.0,cs,13,NONE,NONE,NONE,3G,0
223,10695,36.0,F,M,702.0,1302,3,2248,1.0,cs,11,258,NONE,NONE,3G,0
224,10696,59.0,F,M,702.0,559,3,2114,1.0,cs,6,NONE,NONE,NONE,3G,0
225,10698,46.0,M,M,702.0,1545,3,2114,0.0,cs,28,NONE,NONE,NONE,3G,0
226,107,34.0,M,M,458.0,1451,6,2102,0.0,cs,0,NONE,NONE,NONE,4G,0
227,1070,40.0,F,S,702.0,3129,3,2243,1.0,cs,6,105,237,NONE,4G,0
228,10701,46.0,F,M,702.0,903,3,2105,1.0,cs,7,NONE,NONE,NONE,3G,0
229,10706,46.0,M,M,702.0,1552,3,2115,1.0,cg,50,NONE,NONE,NONE,3G,0
230,1071,40.0,M,S,702.0,2622,3,2136,1.0,cs,0,NONE,NONE,NONE,4G,0
231,10712,35.0,M,M,702.0,228,3,2135,1.0,cs,17,105,NONE,NONE,3G,0
232,10717,21.0,M,S,702.0,355,3,2242,1.0,cs,11,NONE,NONE,NONE,3G,0
233,10719,41.0,M,M,702.0,639,3,2242,1.0,cs,20,105,NONE,NONE,3G,0
234,1072,30.0,M,S,702.0,3090,3,2136,1.0,cs,0,101,105,102,4G,0
235,10722,67.0,F,M,702.0,1546,3,2115,1.0,cs,1,NONE,NONE,NONE,3G,0
236,10724,42.0,F,S,702.0,1299,3,2105,1.0,co,42,NONE,NONE,NONE,3G,0
237,10727,40.0,F,M,702.0,1544,3,2242,1.0,dd,6,NONE,NONE,NONE,3G,0
238,1073,25.0,M,S,702.0,2776,3,2102,1.0,cs,0,NONE,NONE,NONE,4G,0
239,10733,35.0,F,M,702.0,828,3,2241,1.0,cg,2,NONE,NONE,NONE,3G,0
240,1074,46.0,F,M,702.0,1595,3,2206,1.0,cs,0,NONE,NONE,NONE,4G,0
241,10746,44.0,M,M,702.0,1542,3,2114,0.0,dd,50,NONE,NONE,NONE,3G,0
242,1075,27.0,M,S,702.0,2219,3,2102,0.0,cs,0,35,NONE,NONE,4G,0
243,10754,40.0,M,S,702.0,382,3,2206,1.0,cs,1,NONE,NONE,NONE,3G,0
244,10756,32.0,M,S,702.0,1556,3,2114,0.0,dd,31,NONE,NONE,NONE,3G,0
245,10757,27.0,M,S,702.0,657,3,2135,1.0,cs,21,NONE,NONE,NONE,3G,0
246,1076,30.0,M,S,702.0,3126,3,2243,1.0,cs,13,NONE,NONE,NONE,4G,0
247,10765,25.0,M,S,702.0,1555,3,2114,1.0,cg,13,NONE,NONE,NONE,3G,0
248,10769,65.0,M,S,702.0,1552,3,2114,1.0,cx,1,NONE,NONE,NONE,3G,0
249,1077,57.0,M,M,702.0,3041,3,2242,1.0,dd,14,NONE,NONE,NONE,4G,0
250,10771,37.0,F,S,702.0,1554,3,2107,1.0,cs,13,NONE,NONE,NONE,3G,0
251,10774,39.0,M,M,702.0,1556,3,2114,1.0,cs,7,105,103,NONE,3G,0
252,10776,42.0,M,M,702.0,287,3,2114,1.0,cs,0,NONE,NONE,NONE,3G,0
253,1078,26.0,M,S,702.0,623,3,2135,1.0,cs,0,103,105,NONE,4G,0
254,10781,38.0,F,S,702.0,1279,3,2105,1.0,co,20,NONE,NONE,NONE,3G,0
255,10783,23.0,M,S,702.0,1027,3,2105,1.0,cs,33,NONE,NONE,NONE,3G,0
256,10787,56.0,M,M,702.0,1559,3,2243,1.0,cs,12,248,258,NONE,3G,0
257,1079,25.0,F,S,702.0,1404,3,2120,1.0,dd,1,70,NONE,NONE,4G,0
258,10790,35.0,F,S,702.0,1556,3,2115,1.0,cs,51,NONE,NONE,NONE,3G,0
259,10792,61.0,M,M,702.0,1553,3,2241,0.0,cs,38,NONE,NONE,NONE,3G,0
260,10793,26.0,F,S,702.0,1303,3,2105,1.0,cs,10,NONE,NONE,NONE,3G,0
261,10795,38.0,F,S,702.0,1534,3,2114,1.0,cs,21,NONE,NONE,NONE,3G,0
262,108,33.0,M,S,458.0,1431,3,2104,1.0,cs,2,105,101,102,4G,0
263,1080,30.0,F,S,702.0,2371,3,2101,1.0,cs,0,NONE,NONE,NONE,4G,0
264,10802,31.0,M,S,702.0,1490,7,2151,1.0,cs,7,238,248,237,3G,0
265,1081,34.0,M,S,702.0,2298,3,2128,1.0,cg,5,67,238,240,4G,0
266,10812,42.0,F,M,702.0,1027,3,2103,1.0,dd,11,NONE,NONE,NONE,3G,0
267,10814,33.0,M,S,702.0,1557,3,2135,1.0,cs,20,NONE,NONE,NONE,3G,0
268,10818,29.0,M,S,702.0,1554,3,2102,1.0,cs,5,101,236,105,3G,0
269,10819,38.0,M,M,702.0,1555,3,2114,0.0,cs,29,NONE,NONE,NONE,3G,0
270,1082,55.0,F,M,702.0,2373,3,2120,1.0,cs,0,NONE,NONE,NONE,4G,0
271,1083,50.0,F,M,702.0,3129,3,2137,1.0,cs,6,105,248,NONE,4G,0
272,10834,36.0,F,M,702.0,1559,3,2242,1.0,cs,1,NONE,NONE,NONE,3G,0
273,10836,37.0,M,M,702.0,1560,3,2242,1.0,cs,7,NONE,NONE,NONE,3G,0
274,1084,28.0,F,S,156.0,1721,3,2248,0.0,cs,0,NONE,NONE,NONE,4G,1
275,10840,25.0,M,S,702.0,1066,3,2101,1.0,cs,11,242,105,NONE,3G,0
276,1085,29.0,M,S,702.0,242,3,2101,1.0,cs,7,NONE,NONE,NONE,4G,0
277,10852,76.0,M,M,702.0,638,3,2206,1.0,cs,20,NONE,NONE,NONE,3G,0
